Assay.ID,Gene,Target.Control,T1D_MZ4_25d,T1D_DS3_31d,T1D_DS7_38d,T1D_DS8_31d,T1D_DS9_38d,T1D_MZ4_32d,T1D_DS3_38d,T1D_DS7_73d,T1D_DS8_70d,T1D_DS9_84d,T1D_MZ4_39d,T1D_DS3_52d,T1D_DS7_98d,T1D_DS8_84d,T1D_DS9_91d
Mm00449274_m1,Mgll,Target,21.487,18.7459,17.9561,18.0273,17.1881,19.487,18.7829,18.0518,18.0708,18.8653,17.779,18.3404,18.3968,17.9511,18.743
Mm01309189_m1,Mmp25,Target,27.905,24.7848,26.0376,25.6788,23.4944,25.885,26.8289,25.1536,25.5779,23.6436,23.787,25.3591,24.685,24.8871,23.5198
Mm00485148_m1,Mrc1,Target,18.832,17.8175,17.6128,17.8167,17.5008,17.34,18.8355,17.8012,17.8189,17.3773,17.403,17.7319,17.7078,18.0383,17.6961
Mm01254559_m1,Mstn,Target,28.562,26.0974,NA,28.0969,22.4587,25.846,21.7519,21.3079,22.3669,26.5155,28.53,27.6342,26.0318,27.8684,23.4871
Mm00449604_m1,Muc1,Target,28.722,26.6389,25.4256,26.1568,27.5502,25.375,24.0341,24.4173,25.4283,25.7438,25.252,25.5784,24.9025,26.3759,26.059
Mm00466886_m1,Muc4,Target,NA,NA,NA,NA,NA,NA,28.6287,28.4143,NA,NA,30.509,30.2709,NA,NA,28.4575
Mm00440338_m1,Myd88,Target,22.093,20.7327,19.7723,19.9534,20.0726,20.394,21.4316,19.6628,NA,20.2643,19.785,19.9541,19.7299,20.3032,20.6192
Mm01149710_m1,Ncam1,Target,22.385,21.8799,21.1186,21.3357,21.6385,21.651,22.953,21.4295,21.7079,21.378,21.185,21.6841,21.7661,22.2268,21.9468
Mm00447921_m1,Ncf1,Target,21.252,18.8385,18.7761,18.4768,18.5052,18.753,21.218,18.8205,18.4217,18.2034,17.816,18.282,17.9142,18.2308,18.3588
Mm00447005_m1,Ndst1,Target,23.536,21.6807,21.0301,21.1439,21.5306,20.965,22.3594,20.7598,20.8802,21.5448,20.676,20.9417,21.0739,21.1287,21.6667
Mm00546934_m1,Nfam1,Target,23.025,21.1655,20.6153,20.6218,20.4639,20.729,23.4792,20.2628,20.4863,20.575,19.714,20.4992,20.3003,20.638,20.6901
Mm01249200_m1,Nfatc3,Target,23.57,21.9536,21.7644,21.5971,21.5647,21.853,22.6494,21.5186,21.579,21.5939,21.193,21.6256,21.4632,21.7369,21.5194
Mm01323917_m1,Nfatc4,Target,26.093,24.558,23.8116,23.343,25.2505,23.804,24.5923,22.9518,23.6777,24.4182,23.499,23.7066,23.303,23.4297,24.7053
Mm00599712_m1,Nfe2l1,Target,22.717,20.0171,19.5217,19.4226,19.6213,20.525,19.7421,18.9072,19.5541,19.7453,19.577,19.6797,19.4082,19.5891,19.55
Mm00476361_m1,Nfkb1,Target,22.21,20.1041,19.8561,19.8006,19.5052,19.686,20.9748,19.4362,19.7159,19.7559,19.134,19.444,19.6176,19.7683,19.6404
Mm00555264_m1,Nfrkb,Target,24.269,22.7359,22.2451,22.1897,22.3243,22.389,23.1564,21.9353,21.9687,22.2553,21.572,22.3698,22.1459,22.1559,21.9419
Mm00458401_m1,Nfx1,Target,23.957,22.5263,21.8644,NA,22.3302,22.558,22.7642,21.4896,21.8643,21.8017,21.643,21.9882,21.7603,21.9051,21.9277
Mm01233151_m1,Nlrc4,Target,26.781,24.758,23.7767,24.4945,24.2804,24.719,26.5296,24.6041,23.8225,24.0153,23.666,24.2448,23.7091,24.0157,23.606
Mm00840904_m1,Nlrp3,Target,25.247,23.7595,23.4138,23.7694,22.6909,23.485,24.6065,23.7937,23.3081,23.6723,22.327,23.6937,23.8233,24.5446,23.1343
Mm00803857_m1,Nmi,Target,23.412,22.066,21.774,21.9563,21.6343,21.904,22.1544,21.1753,21.3019,21.8737,21.108,21.779,21.6272,21.8439,22.0834
Mm00805062_m1,Nod1,Target,24.748,22.8746,22.5484,22.4137,22.5019,22.937,22.9532,22.2752,22.3571,22.3731,21.997,22.5457,22.4705,22.3415,22.3541
Mm00467543_m1,Nod2,Target,26.165,24.595,24.0524,24.469,23.8299,24.581,25.5397,24.1436,24.5336,23.8572,23.676,25.0958,24.0889,24.7377,23.7918
Mm00443040_m1,Nodal,Target,NA,NA,NA,NA,NA,NA,NA,30.1991,NA,NA,30.149,NA,NA,NA,NA
Mm00834875_g1,Nono,Target,21.206,19.5872,19.0291,19.1082,8.216,19.346,19.8396,18.7956,18.8568,18.4248,18.47,18.9324,18.9535,18.8049,20.2597
Mm00440502_m1,Nos2,Target,26.409,24.8527,25.6596,25.7101,23.8221,24.482,25.7203,25.7403,26.2464,23.7804,24.816,25.3115,25.9975,25.6899,22.3937
Mm00479246_m1,Nox4,Target,22.8,21.634,20.8889,20.7764,21.651,20.815,22.1016,20.2776,20.7375,20.8019,20.86,20.6026,20.0196,20.6175,20.9519
Mm00433832_m1,Nr3c1,Target,21.679,20.1093,19.8426,20.2071,19.8304,20.069,20.2732,19.6486,19.7947,19.9813,19.282,19.8356,19.7309,19.8119,19.9708
Mm01243354_m1,Nup85,Target,24.575,23.2364,22.4404,22.3566,22.368,22.828,22.9462,21.8939,22.5858,22.5986,21.919,22.5601,22.1752,22.7296,22.6406
Mm00455341_m1,Oit1,Target,NA,NA,NA,NA,NA,29.917,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mm00454586_m1,Olr1,Target,25.821,25.4769,24.3206,23.869,22.7649,22.763,25.4971,23.4144,23.7476,23.2263,21.944,24.1498,23.8204,24.7075,23.4509
Mm00435456_g1,Orm1,Target,22.565,20.3629,19.8984,20.0312,19.376,21.487,20.8155,21.0205,20.646,18.813,20.173,21.2248,20.2765,19.8492,18.6138
Mm01193966_m1,Osm,Target,25.736,23.7707,23.1579,22.8251,22.6519,23.366,25.6408,22.8322,22.6963,22.8086,22.67,23.2804,23.2242,23.5758,22.5454
Mm01960674_s1,Oxgr1,Target,NA,31.2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mm00435460_m1,P2rx1,Target,NA,28.0895,NA,26.8936,27.7149,27.446,24.9538,25.6521,26.6987,NA,26.793,26.5199,26.5113,26.4467,27.9032
Mm00440578_m1,P2rx7,Target,23.328,21.587,20.7764,21.1529,20.7446,21.479,22.45,20.8538,20.7935,20.7938,20.822,21.0091,20.8336,20.8222,20.699
Mm00435471_m1,P2ry1,Target,28.277,25.8205,26.0131,26.6771,26.8692,26.559,27.0567,25.4935,25.6841,26.2044,26.103,25.7225,26.9932,25.8281,26.2022
Mm00440677_m1,Pdgfb,Target,21.402,19.746,19.1788,19.2718,19.3888,20.148,21.3679,18.7907,19.4288,19.7645,18.884,19.2105,19.5026,19.7696,19.6618
Mm00437150_m1,Pglyrp1,Target,27.152,25.8326,25.6582,25.7862,24.4625,24.406,25.8166,24.7353,24.9175,25.0402,24.386,25.2848,25.6841,25.4891,24.6169
Mm00803160_m1,Pik3r1,Target,20.82,19.5185,19.3013,19.1906,19.6701,19.185,18.7436,18.5008,19.2547,19.5584,18.445,19.1698,18.7759,19.093,19.484
Mm00478250_m1,Pla2g2d,Target,24.999,21.7624,21.3913,21.4625,19.7354,22.331,24.6424,20.2842,19.7784,19.1948,19.787,20.7836,20.4609,19.8083,19.538
Mm00478870_m1,Pla2g2e,Target,25.751,23.7521,23.0045,23.1716,23.1799,24.293,27.5321,23.2374,23.2131,22.7767,22.952,23.4313,22.8662,22.8367,22.9406
Mm01195718_m1,Pla2g4c,Target,27.288,26.7263,26.3424,27.8864,26.2499,27.493,27.1324,26.2253,25.6618,26.2027,25.629,26.7706,26.5987,27.1736,28.4
Mm00479105_m1,Pla2g7,Target,18.8,17.1288,17.0367,17.4002,16.9247,17.216,20.2824,16.8743,16.8859,17.1231,16.704,17.0629,16.9067,17.4652,17.2897
Mm00554584_m1,Plaa,Target,21.653,19.8863,19.8363,19.78,19.8165,19.988,20.7678,19.5644,19.8307,19.8178,19.37,19.8074,19.5726,20.0103,19.9179
Mm02342686_g1,Plp2,Target,18.629,16.9711,16.0316,16.2778,16.9666,16.793,19.3695,16.5983,16.705,16.5114,16.15,16.6335,15.8585,16.682,16.7379
Mm01184323_m1,Pparg,Target,22.405,21.3549,21.2114,21.0508,21.3077,NA,21.3636,21.4057,21.4392,21.9403,19.83,21.369,20.8032,19.8291,21.8589
Mm01184322_m1,Pparg,Target,22.758,20.9485,20.4608,20.6283,20.6313,21.543,20.8243,20.643,20.3535,21.1511,20.008,20.6954,20.3516,19.8113,21.244
Mm00470163_m1,Ppbp,Target,24.5,23.8766,23.7485,23.2022,22.502,22.659,22.1843,22.3496,23.1493,22.7981,21.795,23.4268,23.0215,23.4292,23.0287
Mm02342429_g1,Ppia,Target,16.75,14.9058,14.5079,14.4602,14.6369,15.611,16.0009,14.4456,14.5863,14.7282,14.888,14.4929,14.349,14.5614,14.749
Mm03024003_g1,Ppia;E030024N20Rik,Target,17.098,15.9131,15.3314,15.1497,15.6218,15.814,17.1364,15.4289,15.4441,15.7559,15.392,15.5309,15.3642,15.578,15.6252
Mm00465365_m1,Prdx5,Target,20.891,19.0956,17.9587,18.0204,18.4442,19.066,19.2281,18.6795,18.8345,18.3476,18.221,18.781,17.8667,18.418,17.8038
Mm00435905_m1,Prg2,Target,NA,28.8743,24.7362,28.8737,25.6341,27.138,27.2856,22.7461,26.2048,22.959,23.315,26.0361,22.8243,23.837,22.273
Mm00599916_m1,Prl7d1,Target,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mm00440992_m1,Procr,Target,22.171,20.3205,19.8001,19.8166,19.8292,19.842,20.6603,19.8218,19.8327,19.5747,19.71,19.8563,19.4203,19.7234,19.3704
Mm01182451_m1,Prok2,Target,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.354,NA,NA,NA,NA
Mm00450080_m1,Prok2,Target,NA,NA,29.6125,NA,NA,NA,NA,NA,22.5801,NA,NA,NA,20.4916,NA,NA
Mm00478323_m1,Prtn3,Target,29.655,NA,NA,NA,27.8951,30.189,NA,31.6426,28.0202,NA,28.618,27.9406,NA,NA,NA
Mm02621061_m1,Ptafr,Target,20.008,18.2563,17.4788,17.5694,17.6586,18.173,20.6481,17.8277,17.6041,17.765,17.122,17.8046,17.8273,17.7021,17.9002
Mm00477208_m1,Pten,Target,20.309,18.5419,17.797,17.8048,18.5924,18.687,19.4822,18.1617,18.0521,17.8354,18.509,18.2117,17.7243,18.0098,17.9897
Mm00452105_m1,Ptges,Target,23.487,21.7245,21.2009,21.3624,21.3307,21.425,21.0189,20.9467,21.4456,21.2853,20.792,20.9854,20.9904,21.1294,21.2404
Mm00477214_m1,Ptgs1,Target,25.021,23.7543,23.5265,23.4355,22.737,22.851,22.8226,22.7392,22.6722,22.7642,22.83,23.1174,22.805,22.7865,22.3819
Mm00478374_m1,Ptgs2,Target,26.163,24.9578,25.0419,24.7312,24.7637,24.185,26.8704,25.5207,25.1181,24.6321,24.194,25.3976,25.2368,25.6796,24.655
Mm00436062_m1,Ptn,Target,22.811,21.4944,20.6754,20.7747,22.223,21.281,18.5311,20.0253,21.4261,22.4532,NA,20.7626,21.3895,21.6746,23.069
Mm00469153_m1,Ptpn6,Target,21.55,19.4429,18.9396,18.8051,18.7991,19.587,22.0407,18.7637,18.9176,18.9812,NA,19.3367,18.7872,19.3,19.1161
Mm01293575_m1,Ptprc,Target,20.577,18.8146,18.72,18.7573,18.699,19.164,21.6316,18.7217,18.5681,18.7516,18.5,18.7123,18.7893,18.7868,19.2017
Mm00477268_m1,Ptx3,Target,26.165,23.2754,22.3077,22.4212,23.0119,22.796,23.5394,22.7584,23.4185,24.1267,24.75,23.3896,23.1874,23.2716,22.7978
Mm00477267_g1,Ptx3,Target,25.209,23.1256,23.5872,23.9592,22.7831,22.815,23.9167,24.4047,24.6104,25.83,24.718,23.5915,24.9037,23.9974,23.9583
Mm00625468_m1,Pxdn,Target,21.866,20.5977,19.9502,19.9992,20.4911,19.757,19.7627,19.788,20.4184,20.5745,20.023,19.8162,20.0454,20.6813,20.7218
Mm00477269_m1,Pxmp2,Target,26.821,25.3919,24.4868,24.7558,24.5786,24.782,21.6195,22.7343,23.6442,24.6343,23.141,24.6004,23.6793,22.8218,23.9608
Mm00445747_g1,Pycard,Target,22.826,20.76,19.8711,20.31,19.9904,21.082,22.1253,20.292,19.9842,20.2499,20.558,20.5596,20.3411,20.5302,20.0108
Mm01201657_g1,Rac1,Target,19.504,17.977,17.5917,17.7643,17.728,17.914,18.9234,17.7865,17.7099,17.8279,17.551,17.6728,17.5374,17.7569,17.8184
Mm01227862_m1,Rbm4,Target,25.351,23.0105,23.0592,23.0681,22.7283,22.34,23.465,22.5971,23.1686,22.625,21.747,22.7029,22.8485,23.2568,23.3545
Mm00627762_m1,Rcan1,Target,22.654,20.8427,20.9231,20.7305,20.6456,20.589,22.4431,20.2935,21.0305,21.2081,19.777,20.6481,20.4259,21.2539,20.5716
Mm00441121_m1,Reg3a,Target,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1628,30.8004,NA,31.2507
Mm00441127_m1,Reg3g,Target,22.122,19.9659,19.5579,19.4773,19.7552,21.005,24.7722,18.7889,19.3743,20.1213,18.292,18.7067,19.4136,20.4787,21.0245
Mm00501346_m1,Rela,Target,22.75,20.8436,20.8532,20.9238,21.0349,20.604,21.9159,21.3418,20.8704,20.4445,20.32,20.6334,20.406,20.5652,20.4117
Mm00445641_m1,Retn,Target,24.724,25.8325,26.6985,24.8121,22.3987,25.745,18.1379,19.7452,20.8118,24.0165,19.764,21.6075,21.0446,18.4409,21.5406
Mm00834507_g1,Rhoa,Target,17.826,16.8243,16.3393,16.2865,16.4857,16.423,18.0063,16.129,16.2716,16.4144,15.951,16.5297,15.9785,16.4306,16.2825
Mm01228062_g1,Rhoa,Target,18.53,16.7425,16.5779,16.6588,16.5548,16.762,17.9725,16.6589,16.7872,16.6362,16.133,16.64,16.5198,16.8117,16.6039
Mm01601614_g1,Rhoa,Target,19.309,17.4184,17.126,17.3851,17.0289,17.164,18.5979,17.2252,17.1892,17.3651,16.789,17.0132,16.9933,17.2845,17.2519
Mm00446816_m1,Ripk2,Target,23.175,21.6675,21.3543,21.375,21.2671,21.457,22.8883,21.4709,21.7269,21.2631,21.054,21.699,21.4567,21.2744,21.0018
Mm01175211_m1,Ryr1,Target,26.552,25.3362,25.1369,24.3105,22.7508,24.493,18.7861,20.0789,21.786,24.7481,24.224,24.1064,24.6124,24.792,22.5993
Mm00496696_g1,S100a8,Target,25.354,23.5237,22.6309,21.8742,21.8329,22.281,24.059,21.5798,21.7177,22.1572,21.302,21.854,21.7506,22.4299,21.8407
Mm01220132_g1,S100a8,Target,23.619,21.3673,21.3747,20.9171,20.2964,20.186,22.4911,20.3576,20.5233,20.8399,19.58,20.5353,20.3818,21.471,21.2146
Mm00656925_m1,S100a9,Target,24.695,22.8915,22.7435,22.5836,21.5319,21.336,22.661,21.05,NA,22.1588,20.783,21.8043,21.7816,22.1326,22.8196
